Date,Open,High,Low,Close,Volume
"Friday, March 27, 2026",123.62,123.96,121.9,122.26,"342,287"
"Thursday, March 26, 2026",124.5,124.66,123.52,123.58,"276,911"
"Wednesday, March 25, 2026",124.94,125.42,124.42,125.08,"347,499"
"Tuesday, March 24, 2026",123.94,124.56,123,124.04,"334,405"
"Monday, March 23, 2026",121.98,127,121.66,124.02,"606,112"
"Friday, March 20, 2026",124.78,124.94,123.6,123.82,"300,769"
"Thursday, March 19, 2026",126,126.2,124.3,124.44,"406,260"
"Wednesday, March 18, 2026",128.28,128.46,126.72,126.86,"299,203"
"Tuesday, March 17, 2026",127.06,128.24,126.84,127.68,"261,361"
"Monday, March 16, 2026",127.04,127.9,126.62,127.3,"325,150"
"Friday, March 13, 2026",126.42,128.1,126.08,126.82,"245,506"
"Thursday, March 12, 2026",127.42,127.72,126.26,126.74,"236,346"
"Wednesday, March 11, 2026",127.94,128.34,127.32,127.68,"296,315"
"Tuesday, March 10, 2026",128.08,128.62,127.28,128.54,"375,054"
"Monday, March 09, 2026",125.8,126.78,125.12,126.64,"462,767"
"Friday, March 06, 2026",129.38,129.38,126.68,127.2,"348,862"
"Thursday, March 05, 2026",129.86,130.38,128.66,128.94,"267,060"
"Wednesday, March 04, 2026",128.36,130.28,128.24,129.96,"403,604"
"Tuesday, March 03, 2026",129.92,130,127.5,128.48,"439,708"
"Monday, March 02, 2026",130.24,131.32,129.84,130.92,"481,013"
"Friday, February 27, 2026",131.78,132.18,130.74,131.6,"380,555"
"Thursday, February 26, 2026",131.6,132.58,130.52,131.3,"285,526"
"Wednesday, February 25, 2026",130.88,131.7,130.7,131.42,"262,403"
"Tuesday, February 24, 2026",130.36,131,129.84,130.38,"264,650"
"Monday, February 23, 2026",130.38,131.16,129.72,130.04,"339,315"
"Friday, February 20, 2026",130.74,132.34,129.86,130.78,"244,108"
"Thursday, February 19, 2026",130.48,130.68,129.9,130.52,"163,765"
"Wednesday, February 18, 2026",129.46,130.52,129.36,130.34,"243,137"
"Tuesday, February 17, 2026",128.64,129.46,128.18,129.2,"251,070"
"Monday, February 16, 2026",128.52,128.8,128.12,128.28,"288,183"
"Friday, February 13, 2026",128.32,129.18,127.62,128.6,"228,124"
"Thursday, February 12, 2026",130.48,130.58,128.54,128.68,"260,017"
"Wednesday, February 11, 2026",129.76,130.78,129.04,129.7,"210,021"
"Tuesday, February 10, 2026",129.46,135,129.12,129.62,"263,821"
"Monday, February 09, 2026",129.12,129.36,128.32,129.24,"327,441"
"Friday, February 06, 2026",126.86,128.42,126.5,128.28,"223,994"
"Thursday, February 05, 2026",127.8,128.5,126.82,127.52,"240,362"
"Wednesday, February 04, 2026",127.82,128.14,127.3,127.66,"262,471"
"Tuesday, February 03, 2026",128.66,129,127.54,127.64,"275,724"
"Monday, February 02, 2026",126.28,128.48,126.16,128.38,"395,602"
"Friday, January 30, 2026",126.68,128.96,126.5,127.34,"274,704"
"Thursday, January 29, 2026",128,128.16,126.16,126.58,"210,544"
"Wednesday, January 28, 2026",128.28,128.5,127.54,127.7,"274,415"
"Tuesday, January 27, 2026",128.32,135,127.52,127.96,"236,186"
"Monday, January 26, 2026",127.5,127.92,126.94,127.64,"374,730"
"Friday, January 23, 2026",128.7,130,127.82,127.94,"245,530"
"Thursday, January 22, 2026",128.74,129.5,128.54,128.76,"294,868"
"Wednesday, January 21, 2026",127.44,128.48,127,128.06,"283,455"
"Tuesday, January 20, 2026",127.58,129,126.76,127.82,"253,929"
"Monday, January 19, 2026",128.76,130.22,128.24,128.34,"309,576"
"Friday, January 16, 2026",130.12,130.25,129.5,129.82,"214,448"
"Thursday, January 15, 2026",129.32,130.38,129.2,130.2,"228,401"
"Wednesday, January 14, 2026",129.24,129.34,128.3,128.68,"265,442"
"Tuesday, January 13, 2026",129.12,130,128.88,129.38,"234,670"
"Monday, January 12, 2026",128.72,129.3,128.3,129.16,"384,700"
"Friday, January 09, 2026",128.34,130,128.22,129.16,"216,877"
"Thursday, January 08, 2026",127.96,128.34,127.86,128.16,"159,912"
"Wednesday, January 07, 2026",128.18,128.42,127.92,128.3,"174,961"
"Tuesday, January 06, 2026",127.42,128.18,127,127.88,"237,769"
"Monday, January 05, 2026",127.5,127.86,127.14,127.42,"323,147"
"Friday, January 02, 2026",126.9,127.4,126.1,126.34,"305,686"
"Wednesday, December 31, 2025",126.68,126.84,126.46,126.66,"135,397"
"Tuesday, December 30, 2025",126.34,128.8,126.26,126.94,"211,384"
"Monday, December 29, 2025",126.9,126.92,126.26,126.46,"295,970"
"Wednesday, December 24, 2025",126.28,126.42,126.16,126.3,"81,325"
"Tuesday, December 23, 2025",125.96,126.58,125.74,126.32,"144,960"
"Monday, December 22, 2025",126.22,130,125.82,126.14,"199,257"
"Friday, December 19, 2025",125.82,126.42,125.36,126.26,"136,456"
"Thursday, December 18, 2025",124.7,126.1,124.38,125.72,"165,472"
"Wednesday, December 17, 2025",126,126.28,124.38,124.48,"136,514"
"Tuesday, December 16, 2025",125.48,126.06,124.7,124.84,"184,849"
"Monday, December 15, 2025",126.34,126.68,125.66,126.08,"172,604"
"Friday, December 12, 2025",127.1,127.38,125.64,125.86,"258,882"
"Thursday, December 11, 2025",125.94,126.74,125.6,126.18,"160,234"
"Wednesday, December 10, 2025",126.4,126.92,126.08,126.42,"158,787"
"Tuesday, December 09, 2025",126.96,126.96,126.19,126.7,"147,061"
"Monday, December 08, 2025",126.98,127.1,126.34,126.44,"207,956"
"Friday, December 05, 2025",126.68,127.1,126.3,126.72,"135,358"
"Thursday, December 04, 2025",126.44,126.88,125.8,126.12,"123,405"
"Wednesday, December 03, 2025",126.8,126.9,125.74,126.02,"151,616"
"Tuesday, December 02, 2025",126.7,127.34,126.5,126.84,"145,948"
"Monday, December 01, 2025",126.48,127.64,125.84,126.7,"238,609"
"Friday, November 28, 2025",127.2,130.22,126.3,126.74,"168,524"
"Thursday, November 27, 2025",126.44,126.64,126.16,126.26,"133,976"
"Wednesday, November 26, 2025",126.4,126.68,125.26,126.52,"159,906"
"Tuesday, November 25, 2025",125.32,125.66,124.18,125.28,"170,332"
"Monday, November 24, 2025",124.68,125.56,124.16,125.28,"210,749"
"Friday, November 21, 2025",123.2,124.1,122.8,123.54,"204,475"
"Thursday, November 20, 2025",126.4,127.08,125.32,125.32,"199,190"
"Wednesday, November 19, 2025",124.24,125.58,124.04,124.8,"131,126"
"Tuesday, November 18, 2025",124.44,124.82,123.44,124.34,"197,069"
"Monday, November 17, 2025",126.78,126.96,125.5,125.92,"178,258"
"Friday, November 14, 2025",126.5,127,124.98,126.88,"203,640"
"Thursday, November 13, 2025",128.88,129.04,126.8,126.96,"139,549"
"Wednesday, November 12, 2025",128.66,129.34,128.39,128.6,"166,496"
"Tuesday, November 11, 2025",127.8,128.02,127.4,127.6,"149,928"
"Monday, November 10, 2025",126.9,127.4,126.54,126.84,"250,954"
"Friday, November 07, 2025",126.42,126.58,124.42,124.52,"229,590"
"Thursday, November 06, 2025",127.6,128.22,126.22,126.28,"179,184"
"Wednesday, November 05, 2025",127.16,128.24,127.06,128,"178,388"
"Tuesday, November 04, 2025",127.1,128.26,126.84,127.92,"204,997"
"Monday, November 03, 2025",127.98,128.68,127.64,127.84,"281,298"
"Friday, October 31, 2025",128.32,140.92,127.54,127.72,"179,005"
"Thursday, October 30, 2025",128.22,128.38,127.66,128.14,"174,956"
"Wednesday, October 29, 2025",128.28,128.64,128.04,128.24,"220,048"
"Tuesday, October 28, 2025",126.58,127.88,126.5,127.48,"199,916"
"Monday, October 27, 2025",126.6,127.02,126.24,126.56,"293,874"
"Friday, October 24, 2025",125.1,126.42,124.92,126,"154,834"
"Thursday, October 23, 2025",124.1,124.96,123.74,124.58,"130,475"
"Wednesday, October 22, 2025",124.68,124.86,123.62,123.62,"172,525"
"Tuesday, October 21, 2025",124.08,124.32,123.82,124.1,"184,779"
"Monday, October 20, 2025",123.24,124.1,122.92,123.96,"197,262"
"Friday, October 17, 2025",121.08,122.8,120.5,122.04,"237,028"
"Thursday, October 16, 2025",123.24,123.5,122.9,123.08,"142,223"
"Wednesday, October 15, 2025",123.26,123.98,123.08,123.08,"154,581"
"Tuesday, October 14, 2025",122.3,122.82,121.52,122.66,"208,168"
"Monday, October 13, 2025",122.5,122.9,121.98,122.74,"302,668"
"Friday, October 10, 2025",124.42,124.98,121.98,121.98,"171,562"
"Thursday, October 09, 2025",124.48,124.62,124.06,124.34,"177,383"
"Wednesday, October 08, 2025",123.44,124.04,123.38,123.92,"151,273"
